rad_id,rad_stroke,rad_char,rad_meaning,rad_name_ja,rad_name,rad_position_ja,rad_position
,7,⾚,red,あか,aka,,
,4,⽋,"to lack, yawn",あくび,akubi,,
,5,⽢,sweet,あまい,amai,,
,8,⾬,rain,あめ,ame,,
,8,⻗,rain,あめかんむり,amekanmuri,かんむり,kanmuri
,4,㓁,net,あみがしら,amigashira,,
,5,⺫,net,あみがしら,amigashira,かんむり,kanmuri
,5,𦉰 ,net,あみがしら,amigashira,,
,6,⽹,net,あみめ,amime,,
,5,⽳,"hole, cave",あな,ana,,
,5,,"hole, cave",あなかんむり,anakanmuri,かんむり,kanmuri
,8,⾭,"blue, green",あお,ao,,
,8,⻘,"blue, green",あお,ao,,
,8,⾮,"wrong, non-",あらず,arazu,,
,11,⿇,hemp,あさ,asa,,
,11,,hemp,あさかんむり,asakanmuri,かんむり,kanmuri
,7,⾜,"foot, leg",あし,ashi,,
,7,⻊,"foot, leg",あしへん,ashihen,へん,hen
,2,⼘,oracle,ぼく,boku,,
,4,⽁,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri
,4,⺙,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri
,4,⽂,"literature, letters",ぶん,bun,,
,6,⾎,blood,ち,chi,,
,4,⽗,father,ちち,chichi,,
,2,⼒,power,ちから,chikara,,
,3,⼤,"large, big",だい,dai,,
,3,⺐,lame leg,だいのまげあし,dainomageashi,つくり,tsukuri
,6,⾀,writing brush,ふでづくり,fudezukuri,,
,6,⾈,"ship, boat",ふね,fune,,
,6,,"ship, boat",ふねへん,funehen,へん,hen
,8,⾫,small bird,ふるとり,furutori,,
,2,⼙,"stamp, seal",ふしづくり,fushizukuri,つくり,tsukuri
,2,⼚,cliff,がんだれ,gandare,たれ,tare
,4,⽍,"death & dying, to decompose",がつ,gatsu,,
,4,,"death & dying, to decompose",がつへん,gatsuhen,へん,hen
29,5,⽞,darkness,げん,gen,,
30,7,⾔,"words, to speak, say",げん,gen,,
,7,,"words, to speak, say",ごんべん,gonben,へん,hen
,6,⾏,to go,ぎょうがまえ,gyougamae,"かまえ, ぎょうがまえ","kamae, gyougamae"
,3,⼻,"step, stride, street, to go",ぎょうにんべん,gyouninben,へん,hen
,12,⻭,tooth,は,ha,,
,15,⿒,tooth,は,ha,,
,3,⼱,cloth,はば,haba,,
,3,,cloth,はばへん,habahen,へん,hen
,2,⼋,eight,はち,hachi,,
,2,,eight,はちがしら,hachigashira,,
,2,⼕,box,はこがまえ,hakogamae,"かまえ, はこがまえ","kamae, hakogamae"
,5,,white,はくへん,hakuhen,へん,hen
,14,⿐,nose,はな,hana,,
,6,羽,"feather, wing",はね,hane,,
,6,⽻,"feather, wing",はね,hane,,
,1,⼅,vertical stroke with a hook,はねぼう,hanebou,,
,7,⾛,to run,はしる,hashiru,,
,5,⽨,"outspread legs, departure",はつがしら,hatsugashira,かんむり,kanmuri
47,4,⽇,"sun, day, time",ひ,hi,,
48,4,⽕,fire,ひ,hi,,
49,4,,"sun, day, time",ひへん,hihen,へん,hen
50,4,,fire,ひへん,hihen,へん,hen
,5,⽦,bolt of cloth,ひき,hiki,,
,5,⺪,bolt of cloth,ひきへん,hikihen,へん,hen
,4,⽈,to say,ひらび,hirabi,,
,2,⼈,person,ひと,hito,,
,2,⼉,human legs,ひとあし,hitoashi,あし,ashi
,2,𠆢,person ,ひとやね,hitoyane,かんむり,kanmuri
,6,⽺,sheep,ひつじ,hitsuji,,
,6,⺷,sheep,ひつじ,hitsuji,,
,7,⾣,"sake jar, bird",ひよみのとり,hiyominotori,,
,4,⼽,"spear, weapon",ほこ,hoko,,
,5,⽭,halberd,ほこ,hoko,,
,5,,halberd,ほこへん,hokohen,へん,hen
,10,⾻,bone,ほね,hone,,
,10,,bone,ほねへん,honehen,へん,hen
,4,⽅,"direction, flag",ほう,hou,,
,4,,"direction, flag",ほうへん,houhen,へん,hen
,1,⼀,"one, horizontal stroke",いち,ichi,,
,3,⼷,javelin,いぐるみ,igurumi,,
,7,⾗,pig,いのこ,inoko,,
,4,⽝,dog,いぬ,inu,,
,6,⾊,color,いろ,iro,,
,2,⼊,to enter,いる,iru,,
,5,⽯,stone,いし,ishi,,
,5,,stone,いしへん,ishihen,へん,hen
,6,⾄,"to arrive, reach",いたる,itaru,,
,6,,"to arrive, reach",いたるへん,itaruhen,へん,hen
,6,⽷,thread,いと,ito,,
,3,⺓,"young, slight",いとがしら,itogashira,,
,6,,thread,いとへん,itohen,へん,hen
,2,⼗,ten,じゅう,juu,,
,5,⽱,footprint,じゅうのあし,juunoashi,,
,13,⿌,frog,かえる,kaeru,,
,7,⾙,"shell, property, wealth",かい,kai,,
,7,,"shell, property, wealth",かいへん,kaihen,へん,hen
,2,⼖,"to conceal, hide",かくしがまえ,kakushigamae,"かまえ, はこがまえ","kamae, hakogamae"
,11,⻲,turtle,かめ,kame,,
,16,⿔,turtle,かめ,kame,,
,10,⾽,long hair,かみかんむり,kamikanmuri,かんむり,kanmuri
,3,⼲,"to dry, shield",かん,kan,,
,13,⿍,tripod,かなえ,kanae,,
,8,⾦,"metal, gold, mineral",かね,kane,,
,8,,"metal, gold, mineral",かねへん,kanehen,へん,hen
,2,⼐,"container, open box",かんにょう,kannyou,にょう,nyou
,9,⾹,scent,かおり,kaori,,
,7,⾟,bitter,からい,karai,,
,4,⽚,split wood,かた,kata,,
,4,,split wood,かたへん,katahen,へん,hen
,2,⼑,"knife, sword",かたな,katana,,
,5,⽡,tile,かわら,kawara,,
,9,⾵,wind,かぜ,kaze,,
,2,⺇,wind,かぜかんむり,kazekanmuri,かんむり,kanmuri
,4,⽑,hair,け,ke,,
,5,⽪,"skin, hide",けがわ,kegawa,,
,2,⼌ ,to enclose,けいがまえ,keigamae,"かまえ, けいがまえ","kamae, keigamae"
,3,⼹,pig’s head,けいがしら,keigashira,,
,3,⺕,pig’s head,けいがしら,keigashira,,
,3,⺔,pig’s head,けいがしら,keigashira,,
,3,⺨,beast,けものへん,kemonohen,へん,hen
92,4,⽊,"tree, wood",き,ki,,
93,11,⻩,yellow,き,ki,,
,12,⿈,yellow,き,ki,,
,4,,"fang, canine tooth",きば,kiba,,
,5,,"fang, canine tooth",きば,kiba,,
,5,,"fang, canine tooth",きばへん,kibahen,へん,hen
,12,⿉,millet,きび,kibi,,
,4,⽓,"steam, air",きがまえ,kigamae,"かまえ, きがまえ","kamae, kigamae"
,4,,"tree, wood",きへん,kihen,へん,hen
,2,⼏,table,きにょう,kinyou,つくり,tsukuri
,3,⼦,"child, son",こ,ko,,
,3,,"child, son",こへん,kohen,へん,hen
,4,⼼,"heart, mind, spirit",こころ,kokoro,,
,6,⽶,rice,こめ,kome,,
,6,,rice,こめへん,komehen,へん,hen
,6,⾉,boundary,こん,kon,,
,6,⾐,clothing,ころも,koromo,,
,5,⻂,clothing,ころもへん,koromohen,へん,hen
,4,⽘,to mix,こう,kou,,
,8,⾩,hill,こざと,kozato,,
,3,⻖,"hill, mound",こざとへん,kozatohen,へん,hen
,9,⾸,head,くび,kubi,,
,3,⼝,mouth,くち,kuchi,,
,3,,mouth,くちへん,kuchihen,へん,hen
,3,⼞,"border, territorial boundaries",くにがまえ,kunigamae,"かまえ, くにがまえ","kamae, kunigamae"
,4,⽐,to compare,くらべる,kuraberu,,
,11,黒,black,くろ,kuro,,
,12,⿊,black,くろ,kuro,,
,7,⾞,"vehicle, wheel, car",くるま,kuruma,,
,7,,"vehicle, wheel, car",くるまへん,kurumahen,へん,hen
,6,⾋,"grass, plant",くさ,kusa,,
,3,⺾,grass,くさかんむり,kusakanmuri,かんむり,kanmuri
,3,⼬,sprout,くさのめ,kusanome,,
,3,⼴,slanting roof,まだれ,madare,たれ,tare
,3,⼮,winding river,まがりがわ,magarigawa,,
,6,⾇,"contrary, to err",まいあし,maiashi,,
,7,,"contrary, to err",まいあし,maiashi,,
,7,⾖,bean,まめ,mame,,
,7,,bean,まめへん,mamehen,へん,hen
,4,⽃,"big dipper, ladle, 18 liters",ますづくり,masuzukuri,つくり,tsukuri
,2,⼜,"again, right hand",また,mata,,
,5,⽬,eye,め,me,,
,5,,eye,めへん,mehen,へん,hen
,9,⾯,"face, surface",めん,men,,
,7,⾝,body,み,mi,,
,7,,body,みへん,mihen,へん,hen
,6,⽿,ear,みみ,mimi,,
,6,,ear,みみへん,mimihen,へん,hen
,7,⾒,to see,みる,miru,,
,4,⽔,water,みず,mizu,,
,6,⽸,earthen jar,みずがめ,mizugame,,
,6,⾃,self,みずから,mizukara,,
,5,⽤,to use,もちいる,mochiiru,,
,8,⾨,"gate, door",もんがまえ,mongamae,"かまえ, もんがまえ","kamae, mongamae"
,2,⼛,"private, Katakana Mu",む,mu,,
,7,⻨,wheat,むぎ,mugi,,
,11,⿆,wheat,むぎ,mugi,,
,7,⾘,badger,むじなへん,mujinahen,へん,hen
,4,⽆,not,むにょう,munyou,,
,5,⺛,not,むにょう,munyou,,
,7,⾢,community,むら,mura,,
,6,⾍,"worm, insect, bug",むし,mushi,,
,6,,"worm, insect, bug",むしへん,mushihen,へん,hen
,n/a,々,n/a,n/a,n/a,,
,2,⼇,"lid, top",なべぶた,nabebuta,かんむり,kanmuri
,8,⻑,long,ながい,nagai,,
,4,⽏,"not, mother",なかれ,nakare,,
,9,,leather,なめしがわ,nameshigawa,,
,10,⾱,leather,なめしがわ,nameshigawa,,
,3,⼢,to go slowly,なつあし,natsuashi,あし,ashi
,13,⿏,"rat, mouse",ねずみ,nezumi,,
,2,⼆,two,に,ni,,
,3,⼶,folded hands,にじゅうあし,nijuuashi,あし,ashi
,6,⾁,"flesh, meat",にく,niku,,
,4,,"meat, flesh",にくづき,nikuzuki,,
,2,⺅,person ,にんべん,ninben,へん,hen
,10,⾿,herbs,においざけ,nioizake,,
,9,⾲,leek,にら,nira,,
,6,⾑,"cover, west",にし,nishi,,
,6,⻃,"cover, west",にし,nishi,,
,2,⼎,ice,にすい,nisui,へん,hen
,1,⼃,diagonal sweeping stroke,の,no,,
,5,⽲,grain,のぎへん,nogihen,へん,hen
,7,⾤,to separate,のごめ,nogome,,
,7,,to separate,のごめへん,nogomehen,へん,hen
,1,,diagonal sweeping stroke,のかんむり,nokanmuri,かんむり,kanmuri
,3,⼡,to follow,のまた,nomata,,
,12,⿋,embroider,ぬいとり,nuitori,,
,4,⺹,"old, old-age",おいかんむり,oikanmuri,かんむり,kanmuri
,6,⽼,"old, old-age",おいかんむり,oikanmuri,,
,10,⿁,demon,おに,oni,,
,3,⼥,woman,おんな,onna,,
,3,,woman,おんなへん,onnahen,へん,hen
,3,⼰,self,おのれ,onore,,
,4,⽄,axe,おのづくり,onozukuri,つくり,tsukuri
,9,⾴,"head, page",おおがい,oogai,つくり,tsukuri
,3,⻏,"village, country, city",おおざと,oozato,つくり,tsukuri
,9,⾳,"sound, noise",おと,oto,,
,1,⼄,the second ,おつ,otsu,,
,1,⺃,the second,おつ,otsu,,
,4,,"jewelry, jeweled king",おうへん,ouhen,へん,hen
,6,⽾,plow,らいすき,raisuki,へん,hen
,8,⾪,to capture,れいづくり,reizukuri,つくり,tsukuri
,10,⿀,tripod,れき,reki,,
,4,⺣,fire,れっか,rekka,あし,ashi
,3,⼵,"to move, stretch",えんにょう,rennyou,にょう,nyou
,3,⺖,"heart, mind, spirit",りっしんべん,risshinben,へん,hen
,2,⺉,"knife, sword",りっとう,rittou,つくり,tsukuri
,4,⽎,"lance shaft, action",るまた,rumata,つくり,tsukuri
,16,⿓,dragon,りゅう,ryuu,,
,2,⼔,spoon,さじ,saji,つくり,tsukuri
,3,⼠,"man, scholar, samurai",さむらい,samurai,,
,3,,"man, scholar, samurai",さむらいかんむり,samuraikanmuri,かんむり,kanmuri
,3,川,river,さんぼんがわ,sanbongawa,,
,3,⺡,water,さんずい,sanzui,へん,hen
,3,⼺,"hair-style, light rays",さんづくり,sanzukuri,つくり,tsukuri
,5,⽫,"plate, bowl",さら,sara,,
,7,⾥,"village, (3.93 km)",さと,sato,,
,7,,"village, (3.93 km)",さとへん,satohen,へん,hen
,8,⻫,alike,せい,sei,,
,14,⿑,alike,せい,sei,,
,11,⿅,deer,しか,shika,,
,3,⼫,"corpse, awning",しかばね,shikabane,たれ,tare
,6,⽽,and also,しこうして,shikoushite,,
,5,⽰,"altar, festival, religious service",しめす,shimesu,,
,4,⺭,"altar, festival, religious service",しめすへん,shimesuhen,へん,hen
,6,⾂,"retainer, minister",しん,shin,,
,7,⾂,"retainer, minister",しん,shin,,
,7,⾠,"Fifth zodiac sign, 7–9 A.M.",しんのたつ,shinnotatsu,,
,3,⻌,"road, walk, to advance",しんにょう,shinnyou,にょう,nyou
,7,⾡,"to advance, move ahead",しんにょう,shinnyou,,
,4,⽀,branch,しにょう,shinyou,,
,11,⿄,salt,しお,shio,,
,5,⽩,white,しろ,shiro,,
,6,⾆,tongue,した,shita,,
,4,⺗,"heart, mind, spirit",したごころ,shitagokoro,あし,ashi
,5,氺,water,したみず,shitamizu,,
,9,⾷,"food, to eat",しょく,shoku,,
,8,⻟,"food, to eat",しょくへん,shokuhen,へん,hen
,3,⼩,small,しょう,shou,,
,4,⽙,split wood,しょうへん,shouhen,へん,hen
,3,⺌,small,しょうかんむり,shoukanmuri,かんむり,kanmuri
,7,,to run,そうにょう,sounyou,にょう,nyou
,3,⼨,"inch, (2.25 cm)",すん,sun,,
,3,,"inch, (2.25 cm)",すんづくり,sunzukuri,つくり,tsukuri
,5,⽥,rice paddy,た,ta,,
,5,,rice paddy,たへん,tahen,へん,hen
,10,⾼,high,たかい,takai,,
,6,⽵,bamboo,たけ,take,,
,6,⺮,bamboo,たけかんむり,takekanmuri,かんむり,kanmuri
,3,⼯,"work, carpenter, skill",たくみ,takumi,,
,3,,"work, carpenter, skill",たくみへん,takumihen,へん,hen
,5,⽟,jewelry,たま,tama,,
,7,⾕,valley,たに,tani,,
,7,,valley,たにへん,tanihen,へん,hen
,10,⾾,fighting,たたかいがまえ,tatakaigamae,かまえ,"kamae, mongamae"
,1,⼁,vertical stroke,たてぼう,tatebou,,
,5,⽴,to stand,たつ,tatsu,,
,5,,to stand,たつへん,tatsuhen,へん,hen
,4,⼿,hand,て,te,,
,3,⺘,hand,てへん,tehen,へん,hen
,1,⼂,dot,てん,ten,,
,4,⼾,door,と,to,,
,9,⾶,to fly,とぶ,tobu,,
,4,,door,とだれ,todare,たれ,tare
,4,⽌,to stop,とめる,tomeru,,
,6,⾌,tiger,とらがしら,toragashira,かんむり,kanmuri
,11,⿃,bird,とり,tori,,
,7,,"sake jar, bird",とりへん,torihen,へん,hen
,3,⺍,Katakana Tsu,つ,tsu,かんむり,kanmuri
,3,⼟,earth,つち,tsuchi,,
,3,,earth,つちへん,tsuchihen,へん,hen
,4,⽉,"moon, month, period",つき,tsuki,,
,4,⺝,"moon, month, period",つきへん,tsukihen,へん,hen
,9,⾰,leather,つくりがわ,tsukurigawa,,
,4,⽖,"claw, nail",つめ,tsume,,
,4,⺤,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri
,4,爫,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri
,7,⾓,"horn, corner",つの,tsuno,,
,7,,"horn, corner",つのへん,tsunohen,へん,hen
,2,⼓,to wrap,つつみがまえ,tsutsumigamae,"かまえ, つつみがまえ","kamae, tsutsumigamae"
,13,⿎,drum,つづみ,tuzumi,,
,4,⽒,"family, clan",うじ,uji,,
,3,⼧,"roof, house",うかんむり,ukanmuri,かんむり,kanmuri
,10,⾺,horse,うま,uma,,
,10,,horse,うまへん,umahen,へん,hen
,5,⽣,"birth, to be born, live",うまれる,umareru,,
,11,⿂,fish,うお,uo,,
,11,,fish,うおへん,uohen,へん,hen
,5,,melon,うり,uri,,
,6,⽠,melon,うり,uri,,
,4,⽜,cow,うし,ushi,,
,4,,cow,うしへん,ushihen,へん,hen
,6,⾅,"mortar, quern",うす,usu,,
,2,⼍,"cover, crown",わかんむり,wakanmuri,かんむり,kanmuri
,5,⽮,arrow,や,ya,,
,5,,arrow,やへん,yahen,へん,hen
,17,⿕,flute,やく,yaku,,
,3,⼭,mountain,やま,yama,,
,3,,mountain,やまへん,yamahen,へん,hen
,5,⽧,sickness,やまいだれ,yamaidare,たれ,tare
,3,,mountain,やまかんむり,yamakanmuri,かんむり,kanmuri
,5,,eye,よこめ,yokome,かんむり,kanmuri
,3,⼸,bow （in archery）,ゆみ,yumi,,
,3,,bow （in archery）,ゆみへん,yumihen,へん,hen
,3,⼣,evening,ゆうべ,yuube,,
,3,⼣,evening,ゆうべ,yuube,,brew install wget